PacBio_GM12878/	1185	2396	49%
PacBio_K562/	1705	3449	49%
PacBio_HepG2/	2589	4813	54%
ONT_GM12878/	2019	3742	54%
ONT_K562/	2222	4050	55%
ONT_HepG2/	4208	7668	55%
