gene	logFC	logCPM	PValue	adj_pval	Status
LINC00221	12.50030858053	2.86935992925377	7.69696865750245e-53	6.90495058264545e-49	UP
LINC00261	-16.1849820579811	6.26624569104792	1.58739905856452e-166	1.42405569543823e-162	Down
LINC00273	-12.3453230117651	1.95889154269666	1.02887543557391e-43	9.23004153253355e-40	Down
LINC00339	13.1102607982361	3.41590667084208	3.77862373075178e-64	3.38980334885742e-60	UP
LINC00467	13.0614386836833	3.3716885221488	8.29978552196484e-55	7.44573759175466e-51	UP
LINC00470	13.3473885635111	3.63142597085916	1.07915971955482e-70	9.68114184412627e-67	UP
LINC00511	-11.4246909112871	0.617361635194481	2.48276552640363e-38	2.2272889537367e-34	Down
LINC00520	10.1891160931	0.864394898025087	1.67339179270945e-17	1.50119977723965e-13	UP
LINC00526	-12.6824643867443	2.41040006286625	1.88694814161719e-77	1.69278117784479e-73	Down
LINC00534	13.4273193680191	3.70446755314995	7.66679938238879e-72	6.87788572594098e-68	UP
LINC00598	12.1184805597168	2.53251152683477	6.47241325427297e-46	5.80640193040828e-42	UP
LINC00649	10.5133368637582	1.14332757454294	4.15702175612762e-22	3.72926421742208e-18	UP
LINC00659	10.1562344470082	0.835860431474901	2.48878695580204e-18	2.23269077805001e-14	UP
LINC00662	13.751142999049	4.00245805930859	2.04635486999716e-78	1.83578495387445e-74	UP
LINC00667	-11.5676919447579	0.832962944857378	8.62237121457106e-46	7.7351292165917e-42	Down
LINC00668	12.6615173744942	3.01275123289827	6.45367901511588e-57	5.78959544446046e-53	UP
LINC00847	12.8671799319899	3.19681615780097	1.07101815702469e-51	9.60810388666851e-48	UP
LINC00879	10.9534575505885	1.52201368509462	4.68998328396396e-26	4.20738400404407e-22	UP
LINC00888	0.772449017868433	3.4260872774353	0.000722932453348718	1	NoDE
LINC00958	14.6199653386526	4.81735848646404	1.47997439148241e-88	1.32768502659887e-84	UP
LINC00963	-13.1584118618083	2.9952378657565	1.208984752939e-65	1.08458022186158e-61	Down
LINC01001	-13.5903984907326	3.49869800472112	1.64141780729208e-53	1.47251591492172e-49	Down
LINC01002	-11.7565947578979	1.11855551430187	1.66892198488552e-44	1.4971899126408e-40	Down
LINC01006	10.2260141301782	0.896022273610841	2.93416093749767e-19	2.63223577702916e-15	UP
LINC01011	12.5906723697977	2.94965324974358	5.04291615657373e-55	4.52400008406229e-51	UP
LINC01029	13.610718428347	3.87284101954642	9.41796629864948e-75	8.44885756651844e-71	UP
LINC01033	12.4656556801172	2.83860598239689	1.17104379070681e-48	1.05054338464308e-44	UP
LINC01088	12.4536114712552	2.82793970438675	3.44828581259049e-49	3.09345720247493e-45	UP
LINC01089	-13.6027425348873	3.51502137210619	1.91708874110133e-74	1.71982030964201e-70	Down
LINC01124	-13.4177465251753	3.31248402858147	1.15511193591103e-36	1.03625091770578e-32	Down
LINC01128	2.70077156984959	4.8485969075921	6.5371292575054e-23	5.8644586569081e-19	UP
LINC01146	-13.3115501875373	3.18278369657454	3.0428428268671e-74	2.72973429998248e-70	Down
LINC01186	-11.1595986538903	0.197181545041701	4.77931442573679e-30	4.28752297132847e-26	Down
LINC01234	13.7781797875232	4.02748634756004	1.00094316804849e-78	8.97946116056298e-75	UP
LINC01273	-10.6357954671008	-0.660319760092695	1.10830376514593e-26	9.94259307712412e-23	Down
LINC01287	15.3119341532023	5.48031308002576	3.14270980782275e-117	2.81932496859779e-113	UP
LINC01291	-13.7448222271476	3.67902022855198	3.60376129505101e-108	3.23293425779026e-104	Down
LINC01366	11.344990743996	1.85951120493717	4.47568626107462e-31	4.01513814481004e-27	UP
LINC01378	10.1239134722313	0.808129212886092	2.49842389263962e-17	2.24133607408701e-13	UP
LINC01524	10.3095726391737	0.967999106725987	8.03069454649176e-20	7.20433607765776e-16	UP
LINC01596	11.5401514676254	2.02846184278512	8.00857280130286e-34	7.1844906600488e-30	UP
LINC01667	13.5287225194251	3.79744240276947	8.3983534253218e-72	7.53416285785618e-68	UP
