logFC logCPM PValue gene_name adj_pval illumina_TPM_1 illumina_TPM_2 HepG2_ONT_Rep1_HepG2_batch1 HepG2_ONT_Rep2_HepG2_batch1
-16.9040014050594 13.3833738264861 1.56453729211913e-159 ENSG00000283907.1 2.46946566188083e-155 17116 20547 0 0
-15.4008940271175 11.8848614831025 2.8032055314963e-131 ENSG00000167244.19 4.42457961091376e-127 7329 6004 0 0
-15.2175821332232 11.7024573953591 8.35751585581221e-129 ENSG00000280614.1 1.3191503026814e-124 5665 6049 0 0
-15.2175821332232 11.7024573953591 8.35751585581221e-129 ENSG00000280800.1 1.3191503026814e-124 5665 6049 0 0
-15.2175821332232 11.7024573953591 8.35751585581221e-129 ENSG00000281181.1 1.3191503026814e-124 5665 6049 0 0
14.5037980840668 10.9713636792286 1.41341226053138e-122 ENSG00000198938.2 2.23092991202274e-118 0 0 1950 2533
-14.6459704026984 11.1346140256904 3.73740364427736e-118 ENSG00000182774.12 5.89911791212738e-114 3844 4039 0 0
13.5782008652176 10.0383582469141 1.43853398608768e-102 ENSG00000214389.2 2.27058204364079e-98 0 0 946 1429
13.3692667672063 9.82696631599665 5.64111763574927e-99 ENSG00000260836.2 8.90394007626665e-95 0 0 822 1232
-13.5934238300701 10.0938520257514 1.64481254330789e-98 ENSG00000254772.9 2.59617211835717e-94 1899 1903 0 0
-9.59048506383519 10.5373975983457 2.26426649493972e-98 ENSG00000274012.1 3.57391823561286e-94 2286 2889 3 1
-13.5006590967701 10.0026303876682 7.02974886865694e-96 ENSG00000241343.9 1.10957556142881e-91 2003 1570 0 0
7.86301429417862 10.1438719492412 2.8206378233811e-93 ENSG00000255508.7 4.45209474042472e-89 9 8 1020 1521
7.62123304278334 9.90054901428648 4.95802745650508e-91 ENSG00000189343.7 7.82575053734762e-87 8 9 963 1168
8.18806829065789 9.71469330934691 7.7217462014017e-91 ENSG00000263266.2 1.21880042042924e-86 6 4 750 1147
-13.1898643872972 9.69729474658975 3.7444569645556e-90 ENSG00000225840.2 5.91025087285456e-86 1573 1306 0 0
12.7296153370528 9.17788501758815 5.49370390969551e-87 ENSG00000219928.2 8.67126225106339e-83 0 0 517 803
12.7167702462028 9.16478195773998 7.30647263470781e-87 ENSG00000227097.5 1.15325364066228e-82 0 0 514 794
12.5798246731048 9.02455362066629 2.12707755336966e-86 ENSG00000227081.5 3.35737921023867e-82 0 0 503 680
8.50746830268217 9.53629179681234 5.1227540006523e-85 ENSG00000178464.6 8.0857549146296e-81 3 4 590 1103
7.99842025355564 8.54634168727093 1.77677044615298e-78 ENSG00000264772.6 2.80445447220786e-74 2 3 387 461
7.32314454526303 8.68950944805042 3.11739757273616e-75 ENSG00000233913.7 4.92050032880676e-71 4 5 387 551
12.2943152788346 8.72923168528776 3.65998382146719e-75 ENSG00000255071.3 5.77691846380382e-71 0 0 538 410
8.60358401511506 8.46677424384568 1.37751015437661e-73 ENSG00000232472.1 2.17426202766804e-69 2 1 307 507
-12.6028639503887 9.12318653371804 1.33338872831702e-71 ENSG00000281383.1 2.10462076877559e-67 715 1190 0 0
11.6148796595082 8.03477852763151 1.60356429990421e-69 ENSG00000255245.4 2.53106589096881e-65 0 0 268 336
-5.9824722855305 10.1884630956158 4.24117593048994e-68 ENSG00000145425.9 6.69427208868533e-64 1978 2025 9 31
-11.754572739113 8.30334621806884 4.8745148532824e-66 ENSG00000189060.5 7.69393424442095e-62 572 492 0 0
6.41339400854762 8.40113522657245 3.01160983113487e-63 ENSG00000257529.5 4.75352495746327e-59 9 5 291 480
7.46756495423721 7.68899942674233 5.58808376647167e-63 ENSG00000263020.6 8.82023141699889e-59 4 0 234 239
-11.4343264825936 7.99663601834106 5.44499577820721e-61 ENSG00000198563.13 8.59438133632226e-57 424 427 0 0
-11.9366616672727 8.47893446119046 4.2065129511953e-60 ENSG00000242265.5 6.63956004216666e-56 790 422 0 0
-11.5564108935334 8.1129740070606 4.39488866914229e-60 ENSG00000227195.10 6.93689227537419e-56 396 528 0 0
6.64575568566611 8.00158872380166 5.83204253356922e-60 ENSG00000213442.5 9.20529593498566e-56 4 5 220 370
11.3542183590337 7.77063980908682 5.86857246414633e-59 ENSG00000248527.1 9.26295477740857e-55 0 0 171 342
11.0146427353673 7.41555438380532 1.16527854239836e-58 ENSG00000262526.2 1.83927565132157e-54 0 0 166 234
-11.2448336542324 7.81607997919637 1.14664471484956e-57 ENSG00000166278.14 1.80986401791854e-53 365 381 0 0
5.9119364338302 7.98896837962768 1.85805128639713e-56 ENSG00000224631.4 2.93274815044923e-52 9 6 300 269
-11.2009623770969 7.77424799746285 3.92762210993589e-56 ENSG00000283293.1 6.19935873832281e-52 334 389 0 0
-6.00793230421285 8.43475433754678 5.71378437207581e-56 ENSG00000161960.14 9.01863725288445e-52 604 549 5 6
-11.1478668696923 7.72385815239398 1.87174610016365e-55 ENSG00000169100.13_PAR_Y 2.9543640444983e-51 326 371 0 0
6.37211308887373 7.35834070878362 4.48193651067807e-55 ENSG00000242071.3 7.07428858845426e-51 3 4 173 205
10.745471434494 7.13578234354711 1.0536140095399e-54 ENSG00000262660.1 1.66302435265778e-50 0 0 143 188
-11.057255036797 7.63804317963439 1.60212130300114e-54 ENSG00000204435.13 2.528788264657e-50 320 335 0 0
5.17662723326291 8.26885745503345 1.65600062058203e-53 ENSG00000213741.10 2.61383137952667e-49 14 16 289 400
-10.9689979755539 7.55473314577153 5.19985921927847e-53 ENSG00000245532.8 8.20745779170914e-49 329 288 0 0
