AC018362.1,FALSE
AC018362.2,FALSE
AC018450.1,FALSE
AC018521.2,FALSE
AC018521.5,FALSE
AC018557.1,FALSE
AC018645.2,TRUE
AC018647.2,TRUE
AC018755.4,FALSE
AC018797.2,TRUE
AC018809.1,FALSE
AC018816.1,TRUE
AC018845.3,FALSE
AC019069.1,FALSE
AC020898.1,FALSE
AC020909.3,FALSE
AC020910.4,TRUE
AC020978.5,FALSE
AC021054.1,TRUE
AC021078.1,TRUE
AC021660.2,FALSE
AC022075.1,TRUE
AC022167.1,FALSE
AC022182.1,TRUE
AC022182.2,FALSE
AC022239.1,FALSE
AC022296.1,FALSE
AC022400.7,TRUE
AC022415.1,TRUE
AC022706.1,TRUE
AC022826.2,TRUE
AC023055.1,TRUE
AC023157.1,TRUE
AC023424.2,FALSE
AC023510.2,FALSE
AC023590.1,TRUE
AC023593.1,FALSE
AC023632.6,FALSE
AC023886.1,TRUE
AC023906.5,TRUE
AC024060.1,FALSE
AC024075.2,TRUE
AC024075.3,FALSE
AC024267.6,FALSE
AC024592.3,TRUE
AC024896.1,FALSE
AC024940.2,FALSE
AC024940.5,TRUE
AC025164.1,TRUE
AC025165.2,FALSE
AC025165.5,FALSE
AC025171.1,TRUE
AC025259.1,FALSE
AC025423.2,FALSE
AC025423.4,FALSE
AC025569.1,TRUE
AC025682.1,FALSE
AC026191.1,FALSE
AC026202.2,FALSE
AC026304.1,TRUE
AC026310.2,TRUE
AC026356.1,TRUE
AC026369.3,FALSE
AC026401.3,FALSE
AC026412.1,TRUE
AC026464.6,TRUE
AC026471.4,TRUE
AC026877.1,FALSE
AC026904.1,TRUE
AC026979.2,TRUE
AC027097.1,TRUE
AC027097.2,FALSE
AC027228.2,FALSE
AC027319.1,FALSE
AC027559.1,TRUE
AC034102.4,FALSE
AC034231.1,FALSE
AC034236.1,TRUE
AC040977.1,FALSE
AC046185.2,FALSE
AC048341.2,TRUE
AC048351.1,FALSE
AC055822.1,FALSE
AC055854.1,TRUE
AC060766.1,FALSE
AC060766.4,TRUE
AC060766.7,FALSE
AC060780.1,FALSE
AC062029.1,FALSE
AC063949.2,TRUE
AC064799.1,TRUE
AC064807.1,TRUE
AC066615.1,FALSE
AC067838.1,FALSE
AC068152.1,TRUE
AC068282.1,FALSE
AC068547.1,FALSE
AC068620.1,TRUE
AC068631.2,TRUE
AC068633.1,TRUE
AC068831.4,FALSE
AC068831.7,FALSE
AC068870.2,TRUE
AC069307.1,TRUE
AC069499.1,TRUE
AC073073.1,FALSE
AC073111.5,TRUE
AC073529.1,TRUE
AC073585.1,TRUE
AC073611.1,FALSE
AC073857.1,TRUE
AC073861.1,TRUE
AC073869.1,TRUE
AC073896.2,TRUE
AC073896.4,FALSE
AC074032.1,FALSE
AC074386.1,TRUE
AC074387.1,FALSE
AC076968.1,TRUE
AC078778.1,FALSE
AC079089.1,TRUE
AC079209.1,TRUE
AC079414.3,TRUE
AC079610.2,FALSE
AC079684.1,FALSE
AC079807.1,TRUE
AC079907.1,TRUE
AC083798.2,TRUE
AC083799.1,FALSE
AC083805.2,TRUE
AC083809.1,FALSE
AC083899.1,FALSE
AC083949.1,FALSE
AC083973.1,FALSE
AC084024.3,FALSE
AC084033.3,TRUE
AC084036.1,TRUE
AC084048.1,TRUE
AC084125.1,FALSE
AC084337.2,TRUE
AC084756.1,FALSE
AC084782.3,FALSE
AC084809.1,TRUE
AC084824.4,FALSE
AC084876.1,FALSE
AC087292.1,FALSE
AC087393.2,FALSE
AC087500.1,TRUE
AC087632.1,TRUE
AC090061.1,TRUE
