logFC logCPM PValue gene_name adj_pval illumina_TPM_1 illumina_TPM_2 HepG2_Rep1_HepG2_batch1 HepG2_Rep2_HepG2_batch1
-17.2863943652687 13.3767065074825 1.13567489548882e-152 ENSG00000283907.1 1.79538844227828e-148 17116 20547 0 0
-15.5999692160323 11.6908282966035 1.92202706469826e-130 ENSG00000280614.1 3.03853258658148e-126 5665 6049 0 0
-15.5999692160323 11.6908282966035 1.92202706469826e-130 ENSG00000280800.1 3.03853258658148e-126 5665 6049 0 0
-15.5999692160323 11.6908282966035 1.92202706469826e-130 ENSG00000281181.1 3.03853258658148e-126 5665 6049 0 0
-11.4142940609429 11.1199703428088 3.77328216480248e-117 ENSG00000182774.12 5.96518177433624e-113 3844 4039 0 3
-13.9757927794439 10.0682697542367 3.59395997141174e-103 ENSG00000254772.9 5.68169131880481e-99 1899 1903 0 0
-9.03948936231827 10.916885156311 1.37577166827144e-98 ENSG00000105640.12 2.17495743037032e-94 3190 3640 7 7
-13.7311297516942 9.82400915925593 1.78504270825175e-96 ENSG00000234851.4 2.82197401747519e-92 1520 1686 0 0
-13.8830167885307 9.97571348842532 3.42752812700286e-96 ENSG00000241343.9 5.41857921597881e-92 2003 1570 0 0
-13.5722163513283 9.66550279904473 2.06350961678124e-93 ENSG00000225840.2 3.26220235316946e-89 1573 1306 0 0
8.46439057979126 10.7495524369601 4.3142734904857e-92 ENSG00000255508.7 6.82043496110884e-88 9 8 2635 3918
13.3512649236647 9.4452869528693 1.10762963165282e-89 ENSG00000260836.2 1.75105168467995e-85 0 0 1025 1670
9.35312881119662 10.7366552875868 1.4951938006335e-87 ENSG00000233913.7 2.3637518794215e-83 4 5 2769 3600
8.80215618891842 9.37254080985956 1.00566085917056e-82 ENSG00000264772.6 1.58984925226274e-78 2 3 864 1783
-7.23537040037539 10.5249273120308 5.86319356089032e-79 ENSG00000274012.1 9.26912270041151e-75 2286 2889 14 24
8.89514578348616 10.2796644635067 2.24356310363148e-78 ENSG00000213442.5 3.54684891053101e-74 4 5 2046 2565
13.1180171030215 9.21132232502864 5.86624355635532e-78 ENSG00000227097.5 9.27394443824213e-74 0 0 942 1290
8.40264287629702 9.43731265299326 2.72661248269195e-74 ENSG00000204196.5 4.3105016738877e-70 4 3 1084 1532
-12.2534018793425 8.35107386993164 3.59134004743734e-73 ENSG00000161960.14 5.67754948099369e-69 604 549 0 0
-6.50842165515157 11.8900734445931 4.19327125719229e-72 ENSG00000167244.19 6.62914253049529e-68 7329 6004 70 85
8.74819880629823 8.62552197802058 2.83560888785177e-71 ENSG00000232472.1 4.48281409080486e-67 2 1 569 959
-11.9677850311828 8.06680620764377 2.9602889340944e-66 ENSG00000111775.2 4.67992077590984e-62 440 504 0 0
-11.8166083172331 7.91665986162044 3.51615793602781e-66 ENSG00000198563.13 5.55869408106636e-62 424 427 0 0
-12.98527264001 9.07972007381602 4.10121420409423e-64 ENSG00000281383.1 6.48360953525256e-60 715 1190 0 0
-11.6271081340133 7.72841161242708 6.99787127650475e-63 ENSG00000166278.14 1.10629347010264e-58 365 381 0 0
-11.8919599046698 7.99181655393202 3.50482255232906e-62 ENSG00000182718.16 5.54077397297701e-58 517 382 0 0
-7.31210891781871 8.22281679901931 3.51739355781526e-61 ENSG00000112715.21 5.56064747555014e-57 540 507 4 3
-11.9387695123709 8.03780509787209 1.10896375450087e-60 ENSG00000227195.10 1.75316079949043e-56 396 528 0 0
-11.5832641125976 7.68477234932874 4.50668686750041e-60 ENSG00000283293.1 7.1246212688314e-56 334 389 0 0
-11.4395140623921 7.5422415543894 6.04970673252099e-60 ENSG00000204435.13 9.56398137344243e-56 320 335 0 0
-11.530157858849 7.63208734404946 7.55437230035371e-60 ENSG00000169100.13_PAR_Y 1.19427071696292e-55 326 371 0 0
7.43561902761235 8.48538372917808 6.50501554394579e-59 ENSG00000242071.3 1.02837790734239e-54 3 4 409 1055
-11.3511975303627 7.45484502301117 2.09483256555178e-58 ENSG00000245532.8 3.31172080288081e-54 329 288 0 0
-11.3301803379574 7.43399365300656 3.10140239043227e-58 ENSG00000170296.9 4.90300703903438e-54 322 286 0 0
6.79436071748692 8.81396245523881 1.01969972759723e-56 ENSG00000257529.5 1.61204329935846e-52 9 5 716 957
-11.2425646978947 7.34688027871966 1.47927775695044e-55 ENSG00000068078.18 2.33859020596295e-51 267 304 0 0
-5.05234216987315 11.0931649899159 1.52442744334791e-55 ENSG00000147403.16 2.40996734518872e-51 3325 4176 92 158
-11.2383436925809 7.34311402872939 6.71464764221776e-55 ENSG00000186010.18 1.06151864575821e-50 318 253 0 0
11.0804219779086 7.19588606043206 7.96683681849445e-55 ENSG00000265257.5 1.25947723263579e-50 0 0 195 378
7.27304580580974 7.55424870140796 8.28073697156532e-54 ENSG00000263020.6 1.30910170783476e-49 4 0 257 471
10.9306289528593 7.04736953212164 2.48546867230534e-52 ENSG00000267426.5 3.92927742404751e-48 0 0 183 328
-10.8693626755325 6.97757490480774 9.78119005279604e-51 ENSG00000239264.8 1.54630833544653e-46 212 229 0 0
10.6906554093757 6.81531964675572 1.68287494936046e-48 ENSG00000285441.1 2.66045700744395e-44 0 0 145 295
5.83901876463838 7.67019975738635 9.11922283872209e-47 ENSG00000111780.8 1.44165793857357e-42 3 9 262 529
-10.8550227087026 6.96310742325918 9.23740860200536e-47 ENSG00000143878.9 1.46034192589103e-42 190 246 0 0
10.7264759080553 6.8429926249408 1.61475031493854e-46 ENSG00000262526.2 2.55275877288633e-42 0 0 173 260
