logFC logCPM PValue gene_name adj_pval illumina_TPM_1 illumina_TPM_2 K562_ONT_Rep1_K562_batch1 K562_ONT_Rep2_K562_batch1
-8.33431119539537 14.8750356831192 4.10468599252787e-130 ENSG00000196565.14 4.97570036014228e-126 41488 46430 37 88
-8.57815377083007 14.0506047174506 5.9639166670202e-120 ENSG00000284931.1 7.22945978376188e-116 23524 26076 23 34
8.56337153302972 12.6477256209955 6.67470691546527e-116 ENSG00000239920.2 8.091079722927e-112 24 26 3062 5197
13.3878856406823 10.230791085278 1.42134418340457e-98 ENSG00000260836.2 1.72295341912302e-94 0 0 513 1174
14.5794828525634 11.4581167753774 1.51899924940951e-89 ENSG00000189343.7 1.84133089013421e-85 0 0 929 3202
8.78965573342487 9.82687346027271 1.92311153335455e-89 ENSG00000234797.5 2.33119580073238e-85 3 3 376 923
-14.3016690833559 11.2342570691754 3.72739004479651e-89 ENSG00000111775.2 4.51834221230233e-85 3067 3837 0 0
-13.6776301374608 10.6261158937566 1.1118689016567e-83 ENSG00000241343.9 1.34780748258826e-79 2066 2420 0 0
-13.4338293744949 10.3901263050489 2.08042774699674e-81 ENSG00000182774.12 2.52189451490945e-77 1787 2005 0 0
-13.6195758109001 10.5703366350166 7.59358655100347e-81 ENSG00000251562.8 9.20494561712641e-77 2564 1793 0 0
10.8401145369145 10.4709936813422 1.36151004188633e-77 ENSG00000255508.7 1.65042247277461e-73 0 2 482 1617
-13.0321056916911 10.0034895650724 2.19422885700831e-77 ENSG00000239672.7 2.65984422046547e-73 1397 1477 0 0
8.52707127985977 8.96586871306819 2.39847662022141e-75 ENSG00000263266.2 2.90743335903239e-71 2 2 238 479
-12.7873454161773 9.76934289138462 2.57078911794298e-73 ENSG00000254772.9 3.11631056877049e-69 1185 1241 0 0
12.8326493649786 9.66320763003961 6.99311321975712e-73 ENSG00000244398.1 8.47705184498958e-69 0 0 297 907
-5.31406761031655 12.9684324942011 1.47966207120994e-71 ENSG00000229117.8 1.79364636272069e-67 10717 12108 81 181
-12.4205035725397 9.42087506746651 3.38422801323778e-69 ENSG00000204435.13 4.10236119764683e-65 1002 886 0 0
-12.4602695754952 9.45834074986605 4.51846596994578e-69 ENSG00000181061.13 5.47728444876827e-65 971 965 0 0
8.49706406887622 8.53739826606721 7.07761976692923e-68 ENSG00000214389.2 8.57949068147161e-64 1 2 166 388
-6.49942514343499 11.1153346784591 9.21678478239158e-68 ENSG00000145425.9 1.11725865132151e-63 3043 3252 15 15
-12.79942324063 9.78062605819579 1.27354503487845e-66 ENSG00000237643.1 1.54379129127965e-62 1105 1334 0 0
-12.3866306996109 9.38846100104998 3.27905622414873e-66 ENSG00000204370.10 3.97487195491309e-62 890 947 0 0
13.281421314896 10.1366058751296 5.00119171281424e-64 ENSG00000213442.5 6.06244459427342e-60 0 0 351 1356
11.6635153672535 8.39346603510933 7.80920058894089e-64 ENSG00000227097.5 9.46631295391415e-60 0 0 174 318
-12.1229483146331 9.13991958108506 8.38361194127066e-64 ENSG00000258232.2 1.01626143952083e-59 802 733 0 0
-12.183012573492 9.1962124897127 1.70581742399058e-63 ENSG00000100902.10 2.06779188136138e-59 783 813 0 0
11.4468711918784 8.16423707326608 3.76679271752167e-63 ENSG00000216866.5 4.56610613217976e-59 0 0 143 287
6.39300082533526 8.03055553901148 3.70685175856771e-62 ENSG00000263020.6 4.49344570173578e-58 6 4 128 262
-5.82032983403585 12.6012642618709 2.4008720797705e-61 ENSG00000236362.8 2.9103371350978e-57 8553 9243 59 74
4.95599454495778 9.92364912515734 5.6234868195018e-61 ENSG00000137309.19 6.81679072260008e-57 46 47 395 940
11.2575075825548 7.97065561819609 2.5960745497672e-59 ENSG00000111780.8 3.1469615692278e-55 0 0 113 275
7.49718636068397 7.85044073611514 1.52438842861135e-57 ENSG00000224631.4 1.84786365316268e-53 2 2 122 225
7.35458789238226 7.71025164201014 2.20602622454818e-57 ENSG00000232472.1 2.67414498939731e-53 2 2 99 225
-12.2594237653029 9.26919651557067 3.29430608184574e-57 ENSG00000227706.3 3.99335783241341e-53 1013 685 0 0
11.8811676134476 8.61248082569081 3.62262195619756e-56 ENSG00000264772.6 4.39134233530269e-52 0 0 224 325
-5.15029102242689 10.5774583526938 4.30404845918895e-56 ENSG00000185201.16 5.21736754222885e-52 2115 2125 12 44
-6.28886230571958 9.49809834224992 4.91952094297179e-56 ENSG00000173436.14 5.96344328707041e-52 994 975 6 5
8.79324754747894 10.4277675430108 7.84236818026409e-56 ENSG00000178464.6 9.50651870811613e-52 4 5 387 1726
10.9264444518819 7.60713612194231 4.30281696750688e-55 ENSG00000258674.5 5.21587472801184e-51 0 0 91 216
-11.5693789074245 8.62191915043447 7.33164555509175e-55 ENSG00000111229.15 8.88742074188222e-51 537 508 0 0
7.49571937667 7.83997524837893 5.85085269711332e-54 ENSG00000108106.13 7.09240363944076e-50 2 2 128 213
-11.4606915270004 8.52103720870083 1.81156635674901e-53 ENSG00000198563.13 2.19598073765115e-49 509 461 0 0
-11.5704999006492 8.62336775756753 2.59887738416672e-53 ENSG00000065911.11 3.1503591650869e-49 578 471 0 0
11.1659395510976 7.83735940430012 1.10569659559521e-51 ENSG00000216649.3 1.34032541318051e-47 0 0 132 209
6.53930158988354 7.40963992928517 1.23007254361559e-51 ENSG00000233913.7 1.49109393737082e-47 4 2 92 169
5.5109014571116 7.36985013173175 2.17341809832925e-51 ENSG00000104964.14 2.63461741879471e-47 6 6 83 170
