logFC logCPM PValue gene_name adj_pval illumina_TPM_1 illumina_TPM_2 GM12878_Rep1_GM12878_batch1 GM12878_Rep2_GM12878_batch1
-16.8554722505045 13.086441834949 3.34201285999274e-88 ENSG00000211660.3 4.20324957401287e-84 15070 11811 0 0
15.2410873664888 11.4741248927004 2.6026114309084e-74 ENSG00000189343.7 3.2733043966535e-70 0 0 5262 4996
-14.8237420380315 11.0543973520996 1.18597647018761e-72 ENSG00000241343.9 1.49160260655496e-68 2654 3758 0 0
-14.7754852324158 11.0060572917675 2.79559954887189e-72 ENSG00000182774.12 3.51602555261618e-68 2343 3823 0 0
14.9041325480193 11.1377240899831 9.61956498335608e-72 ENSG00000255508.7 1.20985268795669e-67 0 0 4143 3988
-14.4144797565378 10.6454976893911 1.87195292752876e-69 ENSG00000211637.2 2.35435519695293e-65 2845 2116 0 0
-14.4048196463975 10.635454297586 2.22875849865314e-69 ENSG00000196656.7 2.80310956375605e-65 2118 2699 0 0
-14.1393905894042 10.3699859625924 2.92299186740122e-67 ENSG00000111775.2 3.67624687163051e-63 1784 2227 0 0
-13.9752564394848 10.2060031608872 3.69002534472268e-66 ENSG00000251562.8 4.64094487605772e-62 1786 1824 0 0
-13.8972171475361 10.1277787781294 1.21070287830563e-65 ENSG00000131174.5 1.52270101004499e-61 1526 1868 0 0
-13.3999673912063 9.63073840195027 2.8898426234457e-62 ENSG00000165502.6 3.63455506750765e-58 1238 1191 0 0
13.6176002813929 9.85468752362393 3.32319771465093e-62 ENSG00000260836.2 4.17958576571647e-58 0 0 1789 1508
-13.2945805736173 9.52547091529355 1.57539033769905e-61 ENSG00000211679.2 1.9813684277241e-57 1203 1063 0 0
13.5093114235863 9.7477580693605 1.85201909746753e-61 ENSG00000264772.6 2.32928441888492e-57 0 0 1383 1788
8.59711648003573 12.1357367437838 2.20864634935169e-60 ENSG00000211899.10 2.77781451357962e-56 14 21 8144 8115
-13.1161573014055 9.3447056849067 2.84430389283456e-60 ENSG00000258017.1 3.57728100601802e-56 267 1612 0 0
-13.1081307244488 9.33879850269265 3.2423248451154e-60 ENSG00000254772.9 4.07787195770163e-56 978 1001 0 0
-12.9317058870648 9.16200056349271 6.01566983169316e-59 ENSG00000211895.5 7.56590794732048e-55 767 969 0 0
-12.7965348983506 9.02574050165892 5.7184154489974e-58 ENSG00000203396.3 7.19205111020403e-54 460 1084 0 0
-9.35902992334914 9.5592252980714 8.07741886398281e-58 ENSG00000239672.7 1.01589697052312e-53 1090 1205 2 2
-12.7579274085182 8.98857778681154 1.10469910403805e-57 ENSG00000169976.6 1.38938006314865e-53 764 788 0 0
9.48835571951922 9.03312686424561 6.37828341424034e-54 ENSG00000263266.2 8.02196705009007e-50 1 1 933 954
9.27471335204431 8.82744871764727 2.28742699279459e-52 ENSG00000257529.5 2.87689692883776e-48 0 2 831 794
-12.0484063684071 8.28054654683745 4.9208353938933e-52 ENSG00000204370.10 6.1889346748996e-48 585 382 0 0
-11.9062978085604 8.13780934863011 7.820200022202e-51 ENSG00000105583.10 9.83546556792346e-47 469 398 0 0
-11.8650442937196 8.09682703882233 1.78125795633447e-50 ENSG00000205323.8 2.24028813168186e-46 472 373 0 0
-11.8339386622435 8.06391798676652 3.1503422367263e-50 ENSG00000258232.2 3.96218543113067e-46 336 472 0 0
-11.8326381916234 8.06337046613087 3.27657230383886e-50 ENSG00000258289.8 4.12094498653813e-46 387 428 0 0
11.9988512360924 8.24912801316587 4.84906054716661e-50 ENSG00000227097.5 6.09866345017145e-46 0 0 549 539
-11.8068485222151 8.03934576597264 5.52465898524242e-50 ENSG00000282600.2 6.94836360573939e-46 496 322 0 0
-11.7628041805025 7.9939600173223 1.32717192696246e-49 ENSG00000259781.1 1.66918413254068e-45 392 388 0 0
-11.7485100938638 7.98061554530523 1.73534770193407e-49 ENSG00000181061.13 2.18254680472248e-45 446 335 0 0
-11.7468898643407 7.97919980247208 1.79833421411488e-49 ENSG00000139180.10 2.26176494109228e-45 458 324 0 0
8.12548356154823 8.90872382405985 2.15613326259717e-49 ENSG00000204196.5 2.71176880436846e-45 2 3 908 797
-11.6844830883938 7.91528120011511 6.12918523715093e-49 ENSG00000178127.12 7.70867627276473e-45 346 389 0 0
-11.6317818458884 7.86466070402912 1.75641149498439e-48 ENSG00000211947.2 2.20903873724186e-44 443 282 0 0
-11.5072672272626 7.73694144403655 2.66930160541367e-47 ENSG00000186010.18 3.35718062912877e-43 245 396 0 0
-11.4793176038207 7.71085696201656 4.88998172927504e-47 ENSG00000204435.13 6.15013002090921e-43 323 318 0 0
-11.4256274278959 7.6573231220196 1.69889962746375e-46 ENSG00000170296.9 2.13670606146115e-42 314 304 0 0
11.452830140716 7.71320450516017 3.21411912844835e-45 ENSG00000242071.3 4.04239762784949e-41 0 0 336 425
-6.89494927388131 8.6324444211845 3.74236250187385e-45 ENSG00000173436.14 4.70676931860674e-41 522 670 6 6
7.64302111472204 8.12828152029021 1.55766551691057e-44 ENSG00000284681.2 1.95907592061842e-40 2 2 472 534
11.3750514674962 7.63532726705488 1.8479301348049e-44 ENSG00000111780.8 2.32414173054412e-40 0 0 355 352
-11.1407528098024 7.3743824153055 1.1932831135029e-43 ENSG00000211666.2 1.5007921718526e-39 297 216 0 0
-11.1380203777625 7.37051790092057 1.25881386286711e-43 ENSG00000008324.11 1.58321019532797e-39 262 245 0 0
-6.39523125367455 10.9894864936877 1.41816116310111e-43 ENSG00000169442.8 1.78362129483227e-39 3634 2599 40 48
11.2287761602609 7.49104504726852 5.08088335941029e-43 ENSG00000257341.5 6.39022700113033e-39 0 0 339 293
-11.057151510994 7.29030227244591 7.8291879023742e-43 ENSG00000198563.13 9.84676962481604e-39 259 222 0 0
11.1816861956305 7.44990547056117 1.5132506617111e-42 ENSG00000104951.15 1.90321535723405e-38 0 0 238 408
-10.9755229158436 7.20909302564818 5.07969617889962e-42 ENSG00000239900.12 6.38873388420205e-38 248 207 0 0
-10.9379319580568 7.16983158283038 1.20877716525821e-41 ENSG00000133983.14 1.52027904074525e-37 198 239 0 0
-7.61055071965733 7.42708048008707 3.11947856734258e-41 ENSG00000170627.10 3.92336819414677e-37 309 221 1 2
6.96078614074077 8.01011428620966 4.66131248053909e-41 ENSG00000232472.1 5.86253270677402e-37 3 3 482 423
-10.8673356269128 7.10411772851359 6.11016402944093e-41 ENSG00000135218.18 7.68475329982786e-37 292 139 0 0
6.11658276854394 10.365593553089 6.51831526060859e-41 ENSG00000102879.15 8.19808510326742e-37 18 38 2295 2430
-10.822858406807 7.05894805475577 1.67514197334411e-40 ENSG00000120948.17 2.10682605987488e-36 263 152 0 0
7.92085995020682 7.48617190801951 1.87053904572402e-40 ENSG00000250151.9 2.3525769578071e-36 2 0 282 365
-5.99054669959746 10.5789523578371 2.77632422923686e-40 ENSG00000140988.15 3.4917829831112e-36 1224 3215 41 46
-7.22899987968346 7.425223075481 4.19804165515049e-40 ENSG00000229833.9 5.27987698968277e-36 223 294 1 3
-10.7489697030483 6.98288053867066 8.61571763627411e-40 ENSG00000148444.15 1.0835988071142e-35 199 188 0 0
-10.7274090293032 6.95910803761749 1.41536813329166e-39 ENSG00000161960.14 1.78010850124092e-35 152 223 0 0
10.8256804001564 7.09999527394608 4.59868649823273e-39 ENSG00000258674.5 5.78376800882731e-35 0 0 225 265
-5.81054076573325 8.79801828548518 5.87265663980976e-39 ENSG00000138495.6 7.38604025588874e-35 602 726 11 18
10.6890967707464 6.96917516214216 1.07234172294982e-37 ENSG00000265257.5 1.34868418495398e-33 0 0 185 268
-10.5460638278452 6.78327968592644 1.40798070750684e-37 ENSG00000163714.17 1.77081733583135e-33 207 134 0 0
10.6494610683134 6.93163833067116 2.85544366190261e-37 ENSG00000124208.16 3.59129149357492e-33 0 0 171 273
-6.11758656129158 7.44691847924207 1.51386360437363e-36 ENSG00000244687.11 1.90398625522071e-32 366 174 3 6
8.19825790256945 6.92627692552571 6.66179803667542e-36 ENSG00000120875.8 8.37854339072668e-32 0 1 179 259
-10.3642264429357 6.59692515465769 1.13469361514309e-35 ENSG00000278615.4 1.42710415976547e-31 106 184 0 0
-10.3437320551695 6.58298801329294 1.99488224922881e-35 ENSG00000213246.6 2.50896340485507e-31 185 112 0 0
10.4707312536596 6.75942543335294 2.25103089642639e-35 ENSG00000255292.8 2.83112155843546e-31 0 0 146 248
-6.17184123211822 7.14577964040749 2.78887966887856e-35 ENSG00000234964.4 3.50757395954857e-31 214 213 2 5
10.4398189457137 6.72837463795818 4.54071422812507e-35 ENSG00000267426.5 5.7108562847129e-31 0 0 153 229
-5.32963247826361 10.3776156996254 9.99130981416239e-35 ENSG00000169020.9 1.2566070353272e-30 1619 2295 51 69
-5.3148951882927 8.34455060648922 1.19584172557894e-34 ENSG00000167552.13 1.50401013826063e-30 640 352 15 14
-10.2607860034891 6.49871241838299 1.50816257951209e-34 ENSG00000205155.7 1.89681607625236e-30 150 127 0 0
-10.2371112710616 6.47689561983672 2.71008195928704e-34 ENSG00000235655.3 3.40847008019531e-30 166 109 0 0
-10.2154713753947 6.45687299574907 4.33456232366007e-34 ENSG00000073584.19 5.45157903446727e-30 179 94 0 0
-10.1943561259734 6.43188653846759 6.89474466891787e-34 ENSG00000174231.16 8.67152037009801e-30 132 131 0 0
-5.08643702900263 8.8795659641524 1.34189264181288e-33 ENSG00000183648.9 1.68769837560806e-29 576 805 21 29
7.21532951658483 6.81508060088535 1.58100096837603e-33 ENSG00000176619.12 1.98842491792654e-29 0 2 165 238
-10.1540437727555 6.39358834536345 1.82727694799974e-33 ENSG00000155959.10 2.29816621749927e-29 145 113 0 0
10.269585446307 6.56382481943515 2.66725300470604e-33 ENSG00000198938.2 3.35460410401878e-29 0 0 140 198
10.2687119488611 6.56224393724986 3.0061508133678e-33 ENSG00000235288.3 3.78083587797268e-29 0 0 145 191
-10.1310994438177 6.36874720766785 3.39808382686889e-33 ENSG00000254505.9 4.27377002905301e-29 121 130 0 0
-10.1256499796275 6.36479511473524 3.86115501528998e-33 ENSG00000188739.14 4.85617466273021e-29 135 117 0 0
-5.1437874573725 10.9107161227909 5.93354481977533e-33 ENSG00000197958.12 7.46261931983144e-29 2782 2931 101 90
-10.0945727160159 6.33282056085677 8.22358137545334e-33 ENSG00000163463.11 1.03427982959077e-28 120 125 0 0
-10.0946518560639 6.33972196866915 8.35959408470527e-33 ENSG00000099194.5 1.05138614803338e-28 187 67 0 0
-10.0813960903593 6.32229279421896 1.06212582683476e-32 ENSG00000152061.23 1.33583565241008e-28 143 103 0 0
-10.0763394297472 6.31641166243794 1.20610726743569e-32 ENSG00000214114.8 1.51692111025387e-28 134 110 0 0
-10.0571553804811 6.29283053163795 2.01435898848823e-32 ENSG00000169627.7 2.53345929982165e-28 89 146 0 0
-10.0367070294201 6.27613064957936 2.98083490969496e-32 ENSG00000187608.9 3.74899606592335e-28 120 116 0 0
5.65878154211368 7.32143412045863 3.74736893962048e-32 ENSG00000160789.19 4.71306591536068e-28 2 7 234 337
6.09298036841326 6.92302031332467 8.32137185064444e-32 ENSG00000180096.11 1.04657893765555e-27 3 2 184 246
5.6115329780757 7.26211112205695 1.4274635140327e-31 ENSG00000158517.13 1.79532086159893e-27 5 4 217 333
6.66602312651104 6.80824721617837 1.73994487508344e-31 ENSG00000171223.5 2.18832866939244e-27 0 3 166 233
-9.9488211267203 6.18387950678104 2.57588722994791e-31 ENSG00000179818.13 3.23969336910549e-27 67 149 0 0
4.96627167267858 8.08750687880146 4.19070499012293e-31 ENSG00000185624.14 5.27064966607761e-27 8 17 465 480
10.0546185432302 6.35699784378209 4.7197654593125e-31 ENSG00000284431.1 5.93604901817733e-27 0 0 124 166
-9.91148761992445 6.15497568649573 6.06790525948665e-31 ENSG00000276070.4 7.63160444485636e-27 130 89 0 0
-9.90152618029111 6.14563838788917 6.93513067211537e-31 ENSG00000272921.1 8.7223138463195e-27 133 85 0 0
-9.89939577367804 6.14196172111291 8.04210330259136e-31 ENSG00000198901.13 1.01145533236692e-26 120 96 0 0
-4.93158459718249 7.53192605266588 1.43625419585149e-30 ENSG00000100764.13 1.80637690212242e-26 324 231 6 16
-6.27897125351958 6.50059322459136 1.67399220756423e-30 ENSG00000118939.17 2.10537999945353e-26 133 139 2 2
-9.82751891951567 6.06862115523706 4.39111519566348e-30 ENSG00000123353.9 5.52270558158596e-26 95 108 0 0
9.93526850853661 6.24236673341359 6.5825005991118e-30 ENSG00000262660.1 8.27881100350291e-26 0 0 117 149
-4.76729718068218 10.6014024934046 7.31631228230754e-30 ENSG00000185201.16 9.20172595745819e-26 2558 2067 83 123
4.63505608093223 8.58217184080566 3.05761439222605e-29 ENSG00000240342.3 3.8455616211027e-25 13 31 726 572
-9.74647220604561 5.99118611729481 3.08322188827915e-29 ENSG00000197061.4 3.87776816888868e-25 106 88 0 0
9.84945584266274 6.15424414261527 4.60755604841528e-29 ENSG00000213442.5 5.7949232420919e-25 0 0 139 102
-4.64150559071595 7.62299883334877 9.34161359514355e-29 ENSG00000066923.17 1.1748947418612e-24 310 272 12 16
9.80497107077595 6.11752253891313 1.32709108490543e-28 ENSG00000270617.1 1.66908245748556e-24 0 0 110 132
-9.68285366818867 5.92433492957538 1.40157963686521e-28 ENSG00000116560.10 1.76276670928537e-24 73 109 0 0
-4.5339355022359 8.0142391726659 1.53852323331209e-28 ENSG00000137288.9 1.93500067053662e-24 370 386 20 19
-9.68024766193747 5.92580007988029 1.67515626034825e-28 ENSG00000268027.5 2.10684402863999e-24 99 86 0 0
-9.67167631883631 5.91014320233641 1.97757404467234e-28 ENSG00000213145.9 2.4871948759844e-24 52 126 0 0
5.33358654423024 6.84432153000532 6.22717755435235e-28 ENSG00000130204.12 7.83192121010895e-24 3 5 158 249
4.67561607296887 7.63184558465904 7.29918857967012e-28 ENSG00000090273.13 9.18018947665111e-24 7 15 285 414
4.97124487431451 7.1706905642172 9.67891529343225e-28 ENSG00000172270.19 1.21731717645497e-23 5 8 185 330
-9.60296741057817 5.85216723804627 9.68046875080795e-28 ENSG00000112972.14 1.21751255478912e-23 107 70 0 0
-9.59537537365896 5.84201400200242 1.15574205746794e-27 ENSG00000114784.3 1.45357678567743e-23 90 84 0 0
-9.60081576064433 5.84910160987819 1.16204677397644e-27 ENSG00000256591.5 1.46150622763016e-23 101 75 0 0
4.75066680069544 7.34216248665914 1.85562743001485e-27 ENSG00000169223.14 2.33382261872968e-23 5 12 219 356
-4.64785591336508 7.21802136701975 2.01214855896176e-27 ENSG00000204472.12 2.5306792426062e-23 195 239 9 12
9.68476396092215 6.00669136011429 2.47686039762729e-27 ENSG00000264058.2 3.11514732209585e-23 0 0 88 139
-4.3182455625639 8.6765403194508 3.26723704551342e-27 ENSG00000269893.6 4.10920403214223e-23 425 741 33 39
9.66349371787379 5.98286511054319 4.09769761432626e-27 ENSG00000025708.13 5.15367428953813e-23 0 0 101 118
-9.53890546213846 5.78627243934224 4.9989643092074e-27 ENSG00000132286.11 6.28719741169014e-23 84 83 0 0
5.50255382363627 6.60821084736519 7.93132626188138e-27 ENSG00000163956.11 9.97522903956821e-23 3 3 151 188
-4.31188473576017 7.99453686080721 8.27342095464766e-27 ENSG00000135821.18 1.04054815346604e-22 602 173 20 25
5.49280140894578 6.60644541661319 8.88502720131744e-27 ENSG00000188976.10 1.11746987110969e-22 2 4 133 211
6.5555208617441 6.18249789982849 8.9474354320064e-27 ENSG00000263020.6 1.12531895428344e-22 0 2 122 127
9.62397965236254 5.95110479295402 9.66330459572203e-27 ENSG00000261915.6 1.21535381900396e-22 0 0 77 143
-9.50171612124007 5.75316221929792 1.0550472743628e-26 ENSG00000115392.11 1.32693295696609e-22 100 65 0 0
5.20680793696721 6.7283214897249 1.14071824649197e-26 ENSG00000127837.9 1.43468133861295e-22 2 6 156 214
9.60527490150075 5.92829121425195 1.62569344150736e-26 ENSG00000269307.1 2.04463464138381e-22 0 0 95 116
5.07274785050046 6.759910359065 2.35806556803138e-26 ENSG00000105364.13 2.96573906491306e-22 3 6 158 220
5.8390512735589 6.40003809360928 3.26516386982626e-26 ENSG00000196843.15 4.10659659908049e-22 0 4 120 176
9.56084013740047 5.88575592536953 4.6996127445339e-26 ENSG00000078808.16 5.91070294880028e-22 0 0 94 110
5.58687617195572 6.45058748371992 6.40703596073156e-26 ENSG00000105447.12 8.05812912781208e-22 2 3 112 198
4.24082959562022 8.36705251336576 6.46782624353546e-26 ENSG00000130592.15 8.13458506649454e-22 14 35 491 660
9.5413971965482 5.87162737057214 6.73385191442116e-26 ENSG00000257379.1 8.4691655527675e-22 0 0 78 128
-9.41298560368289 5.66635910338415 8.57130757760606e-26 ENSG00000256039.1 1.07801335403551e-21 93 62 0 0
9.52057967795655 5.85196154811551 1.16270625021922e-25 ENSG00000285779.1 1.46233565090072e-21 0 0 77 126
5.70177602526367 6.25790520762385 1.41163930174631e-25 ENSG00000214026.10 1.77541874980633e-21 2 2 121 142
-9.34221036252378 5.5843295765825 4.01241948065985e-25 ENSG00000213178.3 5.0464199808259e-21 26 114 0 0
9.45556999100939 5.78876461248964 5.12106594084805e-25 ENSG00000161939.19 6.44076463380459e-21 0 0 80 112
-4.34706369183611 7.07129886671661 5.48031225665767e-25 ENSG00000006625.17 6.89258872519836e-21 211 182 11 12
7.13862607007568 5.91036965574353 5.55255017945577e-25 ENSG00000260280.5 6.98344236070152e-21 1 0 83 127
-9.32442264845396 5.57709205517741 6.08123350515643e-25 ENSG00000272379.1 7.64836737943524e-21 73 71 0 0
9.4295371531188 5.76571438690744 9.05232248265263e-25 ENSG00000072110.13 1.13851059864322e-20 0 0 74 116
-4.1483588725566 10.2163483719468 1.0715262311615e-24 ENSG00000114942.13 1.34765854093182e-20 1646 1786 118 112
-9.29732911281632 5.55551152624026 1.12487885966367e-24 ENSG00000047315.15 1.414760141799e-20 94 50 0 0
4.29569240064442 7.38488711710199 1.26462424175551e-24 ENSG00000130706.12 1.59051790885591e-20 11 13 247 330
-9.29021753768225 5.53722565697053 1.36048312750243e-24 ENSG00000279753.1 1.71107962945981e-20 41 96 0 0
4.53300372411477 6.85244152091947 1.9495819723045e-24 ENSG00000023191.16 2.45198924656738e-20 7 7 176 220
-9.26325935260857 5.51387756990816 2.03686249113514e-24 ENSG00000204822.6 2.56176195510066e-20 53 83 0 0
-9.26695755741291 5.52053969139745 2.05790782794791e-24 ENSG00000244270.1 2.58823067521009e-20 67 71 0 0
-9.26980998722482 5.52830228847584 2.08253529218433e-24 ENSG00000139921.12 2.61920463698024e-20 90 51 0 0
-3.98798650759757 8.7279456751442 2.16565852204882e-24 ENSG00000118640.10 2.7237487231808e-20 573 641 41 52
-5.22431729993285 6.02132610626926 2.29374989356919e-24 ENSG00000155307.18 2.88484924114197e-20 123 72 2 4
4.02878568441777 8.37327158530537 2.39778427773464e-24 ENSG00000172531.14 3.01569328610686e-20 21 36 506 635
-9.26219658108329 5.5092635637801 2.52364092073381e-24 ENSG00000227751.1 3.17398318600691e-20 37 97 0 0
4.78225374879301 6.62903750992806 2.65054910697452e-24 ENSG00000168209.4 3.33359561184186e-20 4 6 143 199
5.86663114358788 6.04525055448652 2.75099970761965e-24 ENSG00000239857.6 3.45993233227323e-20 1 2 96 132
9.37668344666347 5.71485803396669 2.88325551902804e-24 ENSG00000285641.1 3.62627046628156e-20 0 0 75 107
-9.24382130907035 5.50032844034522 3.10932496509487e-24 ENSG00000162959.13 3.91059800859982e-20 76 61 0 0
-9.25149338178762 5.50074226548857 3.11131520292905e-24 ENSG00000062582.13 3.91310113072387e-20 45 89 0 0
-9.24705202317136 5.50475736923005 3.13065072136828e-24 ENSG00000185862.6 3.93741941226489e-20 82 56 0 0
5.63532726064111 6.20141901126928 3.55410385400676e-24 ENSG00000247596.8 4.4699964171843e-20 1 3 113 140
4.28625326568241 7.20395349970847 6.19721465362222e-24 ENSG00000167747.14 7.79423686986067e-20 6 15 211 298
9.34361623566419 5.67846516299537 6.20318444401638e-24 ENSG00000270136.6 7.8017450752394e-20 0 0 89 84
-4.0953597732308 7.29584947999592 6.21778585050534e-24 ENSG00000205544.3 7.82010926418057e-20 211 240 14 18
5.8262991634561 6.00092493954098 7.3206592155907e-24 ENSG00000285976.1 9.20719309544842e-20 1 2 120 93
5.59029044146213 6.16321732891818 8.16427913445664e-24 ENSG00000182154.7 1.02682138674061e-19 0 4 116 128
3.96623437332025 8.35748660617763 8.27203946915382e-24 ENSG00000147010.17 1.04037440403548e-19 25 34 422 733
